,A-human,B-human,C-human,D-human,E-human,G-human,A-ai,B-ai,C-ai,D-ai,E-ai,F-ai,G-ai
A-human,1.0000,-0.0143,-0.0617,0.0824,-0.0410,0.0340,0.0760,-0.0239,-0.0168,0.0227,0.0001,-0.0637,0.0629
B-human,-0.0143,1.0000,0.1572,-0.0644,0.0332,-0.0771,-0.1115,0.0619,0.0179,-0.0818,-0.0423,0.0193,-0.0655
C-human,-0.0617,0.1572,1.0000,0.0002,0.0060,-0.1151,-0.0554,-0.0330,0.0697,-0.0805,-0.1202,0.0654,-0.0474
D-human,0.0824,-0.0644,0.0002,1.0000,0.0044,-0.0462,0.0560,-0.0821,-0.0691,0.1306,-0.0338,-0.0463,-0.0403
E-human,-0.0410,0.0332,0.0060,0.0044,1.0000,0.0081,0.0229,0.0087,-0.0384,0.0153,0.2080,0.0884,-0.0197
G-human,0.0340,-0.0771,-0.1151,-0.0462,0.0081,1.0000,0.1426,-0.0096,-0.0026,0.0239,0.2004,-0.1009,0.3679
A-ai,0.0760,-0.1115,-0.0554,0.0560,0.0229,0.1426,1.0000,-0.1077,-0.0274,0.1378,0.0393,-0.0548,0.0907
B-ai,-0.0239,0.0619,-0.0330,-0.0821,0.0087,-0.0096,-0.1077,1.0000,-0.0416,-0.0641,0.0265,-0.0223,0.0964
C-ai,-0.0168,0.0179,0.0697,-0.0691,-0.0384,-0.0026,-0.0274,-0.0416,1.0000,-0.0478,0.0230,-0.0024,-0.0501
D-ai,0.0227,-0.0818,-0.0805,0.1306,0.0153,0.0239,0.1378,-0.0641,-0.0478,1.0000,0.0240,-0.0352,-0.0560
E-ai,0.0001,-0.0423,-0.1202,-0.0338,0.2080,0.2004,0.0393,0.0265,0.0230,0.0240,1.0000,0.0912,0.0621
F-ai,-0.0637,0.0193,0.0654,-0.0463,0.0884,-0.1009,-0.0548,-0.0223,-0.0024,-0.0352,0.0912,1.0000,-0.0731
G-ai,0.0629,-0.0655,-0.0474,-0.0403,-0.0197,0.3679,0.0907,0.0964,-0.0501,-0.0560,0.0621,-0.0731,1.0000
